location,month,pLocalTransmissionAve,pLocalTransmissionMin,pLocalTransmissionMax,localcases
Fortaleza,01/01/2014 12:00:00 AM,0,0,0.01,0
Turks & Caicos,01/01/2014 12:00:00 AM,0.01,0,0.03,0
Grenada,01/01/2014 12:00:00 AM,0.04,0,0.09,0
Grand Rapids,01/01/2014 12:00:00 AM,0,0,0,0
Greensboro,01/01/2014 12:00:00 AM,0,0,0,0
"Greenville, SC, US",01/01/2014 12:00:00 AM,0,0,0,0
Guatemala City,01/01/2014 12:00:00 AM,0.01,0,0.03,0
Guayaquil,01/01/2014 12:00:00 AM,0,0,0.01,0
Goiania,01/01/2014 12:00:00 AM,0,0,0,0
Huntsville,01/01/2014 12:00:00 AM,0,0,0,0
Wichita,01/01/2014 12:00:00 AM,0,0,0,0
Indianapolis,01/01/2014 12:00:00 AM,0,0,0,0
Jackson,01/01/2014 12:00:00 AM,0,0,0,0
"Jacksonville, FL, US",01/01/2014 12:00:00 AM,0,0,0.03,0
Jamaica,01/01/2014 12:00:00 AM,0.47,0.05,0.86,0
Las Vegas,01/01/2014 12:00:00 AM,0,0,0,0
Lubbock,01/01/2014 12:00:00 AM,0,0,0,0
Lexington,01/01/2014 12:00:00 AM,0,0,0,0
Lima,01/01/2014 12:00:00 AM,0,0,0.03,0
Little Rock,01/01/2014 12:00:00 AM,0,0,0,0
Odessa,01/01/2014 12:00:00 AM,0,0,0,0
Manaus,01/01/2014 12:00:00 AM,0,0,0,0
Maracaibo,01/01/2014 12:00:00 AM,0.01,0,0.04,0
Kansas City,01/01/2014 12:00:00 AM,0,0,0,0
Chicago,01/01/2014 12:00:00 AM,0,0,0,0
Memphis,01/01/2014 12:00:00 AM,0,0,0,0
Mexico City,01/01/2014 12:00:00 AM,0,0,0.01,0
Managua,01/01/2014 12:00:00 AM,0.03,0,0.07,0
Milwaukee,01/01/2014 12:00:00 AM,0,0,0,0
Monroe,01/01/2014 12:00:00 AM,0,0,0,0
Montserrat,01/01/2014 12:00:00 AM,0,0,0,0
Minneapolis,01/01/2014 12:00:00 AM,0,0,0,0
New Orleans,01/01/2014 12:00:00 AM,0,0,0.04,0
Maturin,01/01/2014 12:00:00 AM,0,0,0,0
Oklahoma City,01/01/2014 12:00:00 AM,0,0,0,0
Omaha,01/01/2014 12:00:00 AM,0,0,0,0
Norfolk,01/01/2014 12:00:00 AM,0,0,0,0
Philadelphia,01/01/2014 12:00:00 AM,0,0,0,0
Pittsburgh,01/01/2014 12:00:00 AM,0,0,0,0
Porlamar,01/01/2014 12:00:00 AM,0,0,0,0
Pensacola,01/01/2014 12:00:00 AM,0,0,0.01,0
Porto Alegre,01/01/2014 12:00:00 AM,0.03,0,0.11,0
Trinidad & Tobago,01/01/2014 12:00:00 AM,0.27,0.01,0.61,0
Guadeloupe,01/01/2014 12:00:00 AM,1,1,1,1
Panama City,01/01/2014 12:00:00 AM,0.37,0.03,0.75,0
Providence,01/01/2014 12:00:00 AM,0,0,0,0
Raleigh,01/01/2014 12:00:00 AM,0,0,0,0
Recife,01/01/2014 12:00:00 AM,0,0,0,0
Richmond,01/01/2014 12:00:00 AM,0,0,0,0
"Rochester, NY, US",01/01/2014 12:00:00 AM,0,0,0,0
San Salvador,01/01/2014 12:00:00 AM,0.02,0,0.04,0
San Diego,01/01/2014 12:00:00 AM,0,0,0.02,0
"San Antonio, US",01/01/2014 12:00:00 AM,0,0,0,0
St. Barthelemy,01/01/2014 12:00:00 AM,1,1,1,1
Louisville,01/01/2014 12:00:00 AM,0,0,0,0
Seattle,01/01/2014 12:00:00 AM,0,0,0,0
St. Martin,01/01/2014 12:00:00 AM,1,1,1,1
"San Jose, CR",01/01/2014 12:00:00 AM,0.04,0,0.12,0
Salt Lake City,01/01/2014 12:00:00 AM,0,0,0,0
Salvador,01/01/2014 12:00:00 AM,0,0,0,0
St. Louis,01/01/2014 12:00:00 AM,0,0,0,0
Syracuse,01/01/2014 12:00:00 AM,0,0,0,0
Tegucigalpa,01/01/2014 12:00:00 AM,0,0,0,0
Tallahassee,01/01/2014 12:00:00 AM,0,0,0.01,0
Tampa,01/01/2014 12:00:00 AM,0.03,0,0.24,0
Tulsa,01/01/2014 12:00:00 AM,0,0,0,0
Knoxville,01/01/2014 12:00:00 AM,0,0,0,0
"Valencia, VE",01/01/2014 12:00:00 AM,0.04,0,0.1,0
Springdale,01/01/2014 12:00:00 AM,0,0,0,0
Ottawa,01/01/2014 12:00:00 AM,0,0,0,0
Quebec City,01/01/2014 12:00:00 AM,0,0,0,0
Toronto,01/01/2014 12:00:00 AM,0,0,0,0
Montreal,01/01/2014 12:00:00 AM,0,0,0,0
Nassau,02/01/2014 12:00:00 AM,0.04,0,0.16,0
Atlantic City,02/01/2014 12:00:00 AM,0,0,0,0
Buenos Aires,02/01/2014 12:00:00 AM,0.04,0,0.2,0
Atlanta,02/01/2014 12:00:00 AM,0.01,0,0.02,0
Austin,02/01/2014 12:00:00 AM,0,0,0.01,0
Anguilla,02/01/2014 12:00:00 AM,1,1,1,1
Barranquilla,02/01/2014 12:00:00 AM,0,0,0,0
Hartford,02/01/2014 12:00:00 AM,0,0,0,0
Belem,02/01/2014 12:00:00 AM,0,0,0.01,0
Barbados,02/01/2014 12:00:00 AM,0.58,0.05,0.92,0
"Birmingham, US",02/01/2014 12:00:00 AM,0,0,0,0
Nashville,02/01/2014 12:00:00 AM,0,0,0,0
Bogota,02/01/2014 12:00:00 AM,0.01,0,0.08,0
Boston,02/01/2014 12:00:00 AM,0,0,0,0
Buffalo,02/01/2014 12:00:00 AM,0,0,0,0
Baltimore,02/01/2014 12:00:00 AM,0,0,0,0
Belize,02/01/2014 12:00:00 AM,0,0,0,0
Akron,02/01/2014 12:00:00 AM,0,0,0,0
Haiti,02/01/2014 12:00:00 AM,0.5,0.01,0.92,0
"Charleston, SC, US",02/01/2014 12:00:00 AM,0,0,0.03,0
St. Vincent & Grenadines,02/01/2014 12:00:00 AM,0.07,0,0.18,0
Cleveland,02/01/2014 12:00:00 AM,0,0,0,0
Cali,02/01/2014 12:00:00 AM,0.02,0,0.09,0
Charlotte,02/01/2014 12:00:00 AM,0,0,0,0
"Columbus, OH, US",02/01/2014 12:00:00 AM,0,0,0,0
Belo Horizonte,02/01/2014 12:00:00 AM,0.01,0,0.03,0
"Cordoba, AR",02/01/2014 12:00:00 AM,0.02,0,0.06,0
Cartagena,02/01/2014 12:00:00 AM,0.01,0,0.02,0
Cumana,02/01/2014 12:00:00 AM,0,0,0,0
Cancun,02/01/2014 12:00:00 AM,0.02,0,0.05,0
Cincinnati,02/01/2014 12:00:00 AM,0,0,0,0
Cayman Islands,02/01/2014 12:00:00 AM,0.04,0,0.12,0
Cuba,02/01/2014 12:00:00 AM,0.03,0,0.11,0
Dayton,02/01/2014 12:00:00 AM,0,0,0,0
Washington DC,02/01/2014 12:00:00 AM,0,0,0,0
Denver,02/01/2014 12:00:00 AM,0,0,0,0
Dominica,02/01/2014 12:00:00 AM,1,1,1,1
Des Moines,02/01/2014 12:00:00 AM,0,0,0,0
Detroit,02/01/2014 12:00:00 AM,0,0,0,0
BVI,02/01/2014 12:00:00 AM,1,1,1,1
El Paso,02/01/2014 12:00:00 AM,0,0,0,0
New York,02/01/2014 12:00:00 AM,0,0,0,0
Martinique,02/01/2014 12:00:00 AM,1,1,1,1
Fortaleza,02/01/2014 12:00:00 AM,0,0,0,0
Grenada,02/01/2014 12:00:00 AM,0.01,0,0.04,0
Grand Rapids,02/01/2014 12:00:00 AM,0,0,0,0
Greensboro,02/01/2014 12:00:00 AM,0,0,0,0
"Greenville, SC, US",02/01/2014 12:00:00 AM,0,0,0,0
Guatemala City,02/01/2014 12:00:00 AM,0,0,0.01,0
Guayaquil,02/01/2014 12:00:00 AM,0,0,0,0
Goiania,02/01/2014 12:00:00 AM,0,0,0,0
Huntsville,02/01/2014 12:00:00 AM,0,0,0,0
Wichita,02/01/2014 12:00:00 AM,0,0,0,0
