x,y
1172,40.751999
1173,41.438
1174,40.667999
1175,39.466
1176,39.911999
1177,40.487999
1178,40.125999
1179,38.776001
1180,38.175999
1181,38.063999
1182,38.748001
1183,38.214001
1184,37.736
1185,39.139999
1186,38.945999
1187,40.141998
1188,39.130001
1189,39.616001
1190,39.925999
1191,40.344002
1192,38.860001
1193,38.082001
1194,37.0
1195,38.113998
1196,37.754002
1197,37.518002
1198,38.200001
1199,40.619999
1200,40.650002
1201,41.534
1202,42.018002
1203,42.18
1204,41.956001
1205,41.492001
1206,41.566002
1207,41.34
1208,41.358002
1209,41.054001
1210,41.882
1211,43.888
1212,43.720001
1213,43.686001
1214,46.310001
1215,46.096001
1216,46.490002
1217,45.209999
1218,45.206001
1219,46.102001
1220,46.59
1221,46.085999
1222,47.360001
1223,47.321999
1224,47.897999
1225,48.948002
1226,48.636002
1227,48.82
1228,49.768002
1229,49.75
1230,49.428001
1231,48.869999
1232,49.124001
1233,49.546001
1234,49.492001
1235,49.486
1236,50.290001
1237,50.16
1238,49.889999
1239,49.669998
1240,49.798
1241,49.183998
1242,49.827999
1243,51.257999
1244,51.200001
1245,50.139999
1246,50.282001
1247,50.138
1248,50.076
1249,50.624001
1250,52.082001
1251,52.377998
1252,52.501999
1253,51.958
1254,53.534
1255,53.034
1256,53.757999
1257,53.417999
1258,52.403999
1259,53.652
1260,53.830002
1261,56.004002
1262,55.944
1263,53.576
1264,50.992001
1265,51.584
1266,51.830002
1267,52.431999
1268,53.130001
1269,52.627998
1270,53.335999
1271,54.931999
1272,56.452
1273,53.354
1274,53.574001
1275,53.439999
1276,53.082001
1277,50.602001
1278,52.964001
1279,52.764
1280,53.358002
1281,53.23
1282,51.998001
1283,53.256001
1284,54.026001
1285,49.226002
1286,48.501999
1287,48.228001
1288,47.473999
1289,47.633999
1290,48.501999
1291,48.630001
1292,50.998001
1293,52.144001
1294,51.049999
1295,48.436001
1296,46.153999
1297,43.773998
1298,44.006001
1299,44.967999
1300,48.598
1301,49.695999
1302,49.812
1303,47.726002
1304,49.537998
1305,49.113998
1306,48.386002
1307,49.633999
1308,49.782001
1309,49.695999
1310,50.048
1311,50.638
1312,50.714001
1313,52.450001
1314,52.414001
1315,52.124001
1316,52.84
1317,52.188
1318,52.212002
1319,52.624001
1320,51.382
1321,49.686001
1322,49.330002
1323,49.68
1324,47.976002
1325,49.514
1326,49.23
1327,48.292
1328,46.391998
1329,45.344002
1330,44.138
1331,43.116001
1332,43.849998
1333,43.375999
1334,44.262001
1335,45.402
1336,45.619999
1337,42.605999
1338,42.018002
1339,42.344002
1340,41.818001
1341,43.051998
1342,42.07
1343,42.591999
1344,42.326
1345,41.386002
1346,42.757999
1347,41.669998
1348,46.326
1349,46.354
1350,46.472
1351,45.066002
1352,43.299999
1353,43.816002
1354,42.588001
1355,41.438
1356,42.862
1357,42.799999
1358,44.214001
1359,44.360001
1360,44.001999
1361,43.549999
1362,43.650002
1363,45.928001
1364,46.321999
1365,46.051998
1366,47.438
1367,46.397999
1368,46.542
1369,46.076
1370,46.226002
1371,45.344002
1372,44.903999
1373,45.414001
1374,43.403999
1375,43.716
1376,44.217999
1377,46.902
1378,46.678001
1379,46.091999
1380,46.512001
1381,45.990002
1382,45.939999
1383,46.113998
1384,45.790001
1385,47.438
1386,47.618
1387,48.001999
1388,44.681999
1389,44.686001
1390,43.807999
1391,43.130001
1392,42.200001
1393,41.57
1394,41.993999
1395,40.062
1396,41.236
1397,40.998001
1398,40.944
1399,39.740002
1400,39.993999
1401,40.509998
1402,39.276001
1403,38.712002
1404,37.613998
1405,37.939999
1406,38.240002
1407,39.388
1408,36.556
1409,34.695999
1410,35.066002
1411,32.52
1412,29.598
1413,29.65
1414,28.733999
1415,30.094
1416,30.208
1417,31.034
1418,33.736
1419,33.354
1420,33.316002
1421,35.548
1422,35.442001
1423,35.799999
1424,37.486
1425,38.068001
1426,38.386002
1427,37.27
1428,37.667999
1429,39.147999
1430,40.208
1431,41.057999
1432,40.52
1433,41.743999
1434,41.035999
1435,41.5
1436,43.029999
1437,43.667999
1438,44.386002
1439,45.276001
1440,46.548
1441,47.664001
1442,46.848
1443,44.515999
1444,45.549999
1445,46.051998
1446,46.026001
1447,45.377998
1448,45.953999
1449,47.518002
1450,49.397999
1451,51.094002
1452,53.084
1453,51.439999
1454,50.014
1455,49.984001
1456,49.563999
1457,50.905998
1458,50.372002
1459,50.902
1460,50.776001
1461,49.473999
1462,49.993999
1463,49.658001
1464,50.75
1465,50.363998
1466,50.748001
1467,50.293999
1468,49.542
1469,48.152
1470,48.360001
1471,46.464001
1472,44.512001
1473,42.306
1474,42.986
1475,41.784
1476,41.737999
1477,41.792
1478,41.456001
1479,41.521999
1480,41.658001
1481,40.931999
1482,42.234001
1483,43.042
1484,44.056
1485,43.243999
1486,43.582001
1487,43.916
1488,45.023998
1489,44.608002
1490,44.646
1491,43.911999
1492,43.792
1493,43.798
1494,44.136002
1495,46.467999
1496,47.104
1497,45.872002
1498,43.757999
1499,43.574001
1500,42.992001
1501,43.540001
1502,43.585999
1503,43.094002
1504,43.939999
1505,43.922001
1506,39.332001
1507,39.279999
1508,38.630001
1509,39.709999
1510,40.358002
1511,42.037998
1512,42.456001
1513,43.299999
1514,42.796001
1515,42.888
1516,43.188
1517,43.355999
1518,44.956001
1519,44.93
1520,44.506001
1521,44.306
1522,44.080002
1523,45.25
1524,45.051998
1525,45.672001
1526,44.099998
1527,44.453999
1528,46.001999
1529,45.902
1530,45.698002
1531,46.122002
1532,46.958
1533,46.001999
1534,45.439999
1535,45.158001
1536,46.122002
1537,46.006001
1538,45.231998
1539,45.816002
1540,45.130001
1541,44.981998
1542,45.122002
1543,45.118
1544,44.722
1545,44.647999
1546,44.702
1547,45.0
1548,44.585999
1549,44.967999
1550,44.523998
1551,44.192001
1552,43.998001
1553,43.040001
1554,42.268002
1555,42.402
1556,40.153999
1557,39.556
1558,40.566002
1559,40.341999
1560,39.472
1561,38.894001
1562,39.66
1563,39.209999
1564,39.282001
1565,40.084
1566,41.080002
1567,41.268002
1568,40.928001
1569,41.043999
1570,41.285999
1571,41.490002
1572,41.798
1573,41.161999
1574,41.254002
1575,40.139999
1576,40.806
1577,42.740002
1578,42.282001
1579,41.692001
1580,40.200001
1581,39.321999
1582,40.189999
1583,40.02
1584,40.301998
1585,40.048
1586,39.301998
1587,38.792
1588,39.82
1589,40.712002
1590,39.82
1591,40.018002
1592,40.551998
1593,40.467999
1594,40.448002
1595,40.801998
1596,39.993999
1597,39.546001
1598,38.158001
1599,37.604
1600,37.484001
1601,38.112
1602,38.641998
1603,38.987999
1604,38.012001
1605,37.07
1606,37.712002
1607,36.290001
1608,36.754002
1609,36.785999
1610,37.731998
1611,37.004002
1612,36.903999
1613,38.234001
1614,38.627998
1615,39.330002
1616,39.223999
1617,37.914001
1618,37.880001
1619,36.375999
1620,36.293999
1621,37.360001
1622,37.169998
1623,38.630001
1624,38.458
1625,38.436001
1626,38.486
1627,39.630001
1628,39.737999
1629,39.515999
1630,40.498001
1631,40.546001
1632,41.757999
1633,41.540001
1634,41.689999
1635,42.667999
1636,43.905998
1637,43.948002
1638,42.936001
1639,42.737999
1640,43.397999
1641,45.397999
1642,45.349998
1643,45.801998
1644,46.256001
1645,45.973999
1646,45.945999
1647,45.917999
1648,47.549999
1649,47.116001
1650,47.672001
1651,48.751999
1652,48.945999
1653,49.784
1654,50.922001
1655,50.894001
1656,50.501999
1657,50.59
1658,50.125999
1659,50.386002
1660,49.848
1661,50.310001
1662,50.265999
1663,51.554001
1664,51.495998
1665,52.416
1666,53.84
1667,53.846001
1668,56.119999
1669,56.195999
1670,55.952
1671,53.790001
1672,54.445999
1673,55.478001
1674,54.702
1675,51.198002
1676,51.400002
1677,49.245998
1678,49.998001
1679,50.004002
1680,50.096001
1681,50.313999
1682,50.242001
1683,49.717999
1684,49.374001
1685,48.98
1686,48.737999
1687,49.234001
1688,51.599998
1689,51.146
1690,52.41
1691,52.299999
1692,52.383999
1693,50.136002
1694,51.001999
1695,50.956001
1696,52.632
1697,54.043999
1698,55.490002
1699,55.476002
1700,55.584
1701,55.66
1702,59.703999
1703,60.740002
1704,59.0
1705,59.740002
1706,60.507999
1707,62.478001
1708,61.742001
1709,59.368
1710,60.799999
1711,60.287998
1712,60.049999
1713,61.104
1714,60.501999
1715,61.119999
1716,61.605999
1717,62.757999
1718,62.034
1719,61.726002
1720,62.813999
1721,64.566002
1722,63.778
1723,62.203999
1724,59.091999
1725,61.669998
1726,61.438
1727,64.251999
1728,65.043999
1729,64.620003
1730,64.961998
1731,63.175999
1732,63.402
1733,61.222
1734,62.612
1735,62.166
1736,62.07
1737,60.771999
1738,62.043999
1739,63.366001
1740,65.028
1741,67.019997
1742,68.202003
1743,68.073997
1744,67.970001
1745,69.463997
1746,70.57
1747,71.93
1748,74.0
1749,71.463997
1750,71.802002
1751,75.190002
1752,76.132004
1753,75.068001
1754,74.279999
1755,73.959999
1756,74.447998
1757,75.279999
1758,76.522003
1759,76.690002
1760,75.498001
1761,72.473999
1762,74.248001
1763,72.150002
1764,72.321999
1765,70.524002
1766,65.417999
1767,61.765999
1768,62.644001
1769,63.209999
1770,65.444
1771,65.903999
1772,64.681999
1773,65.556
1774,63.914001
1775,65.648003
1776,65.052002
1777,65.984001
1778,65.68
1779,68.503998
1780,67.919998
1781,68.769997
1782,66.891998
1783,67.014
1784,64.694
1785,63.914001
1786,65.178001
1787,69.417999
1788,71.382004
1789,71.033997
1790,73.043999
1791,72.706001
1792,71.080002
1793,71.573997
1794,72.760002
1795,72.466003
1796,72.582001
1797,70.384003
1798,69.491997
1799,67.571999
1800,68.269997
1801,70.554001
1802,70.585999
1803,69.610001
1804,69.132004
1805,69.472
1806,70.636002
1807,71.18
1808,71.080002
1809,69.917999
1810,68.905998
1811,70.122002
1812,68.68
1813,72.737999
1814,72.550003
1815,73.246002
1816,75.528
1817,75.961998
1818,77.0
1819,75.019997
1820,74.781998
1821,73.295998
1822,70.218002
1823,68.998001
1824,69.050003
1825,68.194
1826,67.919998
1827,68.220001
1828,68.306
1829,69.627998
